	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_R2-16612	6	Male	Right	Endothelial	2.669246859	11	Nostrin
Male_R2-16614	2	Male	Right	Astrocyte	1.56244527	15	Gfap
Male_R2-16615	1	Male	Right	Astrocyte	1.668399477	6	Gfap
Male_R2-16618	6	Male	Right	Endothelial	2.256193923	5	Nostrin
Male_R2-16629	3	Male	Right	Astrocyte	3.617576025	14	Aldh1l1
Male_R2-16642	13	Male	Right	Neuron	10	2	Slc12a5
Male_R2-16644	1	Male	Right	Neuron	3.065556683	21	Nefl
Male_R2-16663	1	Male	Right	Neuron	3.615280202	22	Nefl
Male_R2-16672	0	Male	Right	Platelets	4.472679292	11	Ccl5
Male_R2-16678	1	Male	Right	Neuron	2.05825203	15	Mapt
Male_R2-16680	4	Male	Right	Microglia	4.781980987	6	Cd68
Male_R2-16681	2	Male	Right	Ependymal	5.817715348	8	Zmynd10
Male_R2-16684	1	Male	Right	Microglia	0.823571783	15	Tmem119
Male_R2-16687	1	Male	Right	Neuron	1.824789348	15	Mapt
Male_R2-16690	10	Male	Right	Neuron	1.767641359	2	Map2
Male_R2-16697	4	Male	Right	Astrocyte	3.424145506	8	Gfap
Male_R2-16701	2	Male	Right	Neuron	6.412464342	9	Thy1
Male_R2-16705	0	Male	Right	Oligodendrocyte	2.279028854	11	Mbp
Male_R2-16706	4	Male	Right	Oligodendrocyte	3.261917256	8	Mbp
Male_R2-16709	1	Male	Right	Neuron	3.259661064	18	Nefl
Male_R2-16710	2	Male	Right	Neuroepithelial	1.036477043	9	Notch1
Male_R2-16729	2	Male	Right	Neuron	4.114897164	16	Nefl
Male_R2-16731	0	Male	Right	Reticulocyte	2.03389446	16	Ruvbl1
Male_R2-16741	1	Male	Right	Reticulocyte	2.308105028	22	Ruvbl1
Male_R2-16743	13	Male	Right	Neuroepithelial	5.519836819	5	Hes1
Male_R2-16747	1	Male	Right	Microglia	2.912876077	28	Cd68
Male_R2-16750	0	Male	Right	Neuron	3.228856782	22	Gap43
Male_R2-16753	2	Male	Right	Neuron	2.95366588	16	Mapt
Male_R2-16765	0	Male	Right	Microglia	4.995506917	18	Cd40
Male_R2-16770	0	Male	Right	Neuron	3.261186488	20	Gap43
Male_R2-16778	1	Male	Right	Neuron	2.984793543	17	Map2
Male_R2-16782	0	Male	Right	Astrocyte	1.571355417	39	Slc1a3
Male_R2-16789	1	Male	Right	Ependymal	3.665714549	29	Zmynd10
Male_R2-16792	2	Male	Right	Neuron	1.642547605	16	Map2
Male_R2-16798	1	Male	Right	Immune	0.917497434	22	Tyrobp
Male_R2-16800	7	Male	Right	Neuron	8.34080825	10	Rbfox3
Male_R2-16802	1	Male	Right	Ependymal	2.524829145	36	Zmynd10
Male_R2-16803	0	Male	Right	Oligodendrocyte	2.09962983	13	Mbp
Male_R2-16810	1	Male	Right	Astrocyte	2.848931314	20	Gfap
Male_R2-16812	4	Male	Right	Neuroepithelial	3.176889833	8	Notch1
Male_R2-16822	2	Male	Right	Astrocyte	1.435954368	13	Gfap
Male_R2-16824	2	Male	Right	Microglia	2.946696257	12	Cd40
Male_R2-16829	2	Male	Right	Microglia	1.352836606	18	Tmem119
Male_R2-16841	2	Male	Right	Neuron	5.061086463	10	Nefl
Male_R2-16842	0	Male	Right	Microglia	1.261346721	31	Tmem119
Male_R2-16844	0	Male	Right	Oligodendrocyte	1.602336613	11	Mbp
Male_R2-16847	2	Male	Right	Astrocyte	1.636483421	7	Gfap
Male_R2-16860	2	Male	Right	Oligodendrocyte	0.767394413	9	Mbp
Male_R2-16861	2	Male	Right	Neuroepithelial	1.173594244	14	Notch1
Male_R2-16864	0	Male	Right	Neuron	1.709187769	15	Map2
Male_R2-16865	3	Male	Right	Endothelial	3.729417484	8	Emcn
Male_R2-16868	0	Male	Right	Microglia	1.93391216	33	Cd68
Male_R2-16870	2	Male	Right	Astrocyte	1.980391225	7	S100b
Male_R2-16872	0	Male	Right	Neuroepithelial	1.999068994	25	Sox2
Male_R2-16874	2	Male	Right	Astrocyte	6.934457632	10	Aldh1l1
Male_R2-16879	0	Male	Right	Oligodendrocyte	1.117320591	24	Mbp
Male_R2-16881	3	Male	Right	Endothelial	3.758954255	15	Emcn
Male_R2-16884	1	Male	Right	Erythroblast	6.578554294	15	Lmnb1
Male_R2-16887	3	Male	Right	Platelets	8.701506983	6	Ccl5
Male_R2-16888	0	Male	Right	Microglia	1.605755449	17	Tmem119
Male_R2-16889	3	Male	Right	Endothelial	3.070781529	13	Nostrin
Male_R2-16892	0	Male	Right	Microglia	2.710848554	16	Cd40
Male_R2-16901	2	Male	Right	Neuron	10	2	Thy1
Male_R2-16905	0	Male	Right	Astrocyte	2.59369739	19	Gjb6
Male_R2-16913	0	Male	Right	Astrocyte	1.358890719	15	Slc1a3
Male_R2-16914	2	Male	Right	Immune	0.627768942	14	Tyrobp
Male_R2-16919	0	Male	Right	Microglia	2.654621575	10	Cd40
Male_R2-16923	0	Male	Right	Neuron	3.99617719	12	Syt1
Male_R2-16926	8	Male	Right	Neuron	2.969729478	2	Map2
Male_R2-16929	2	Male	Right	Astrocyte	0.96432998	18	Slc1a3
Male_R2-16934	1	Male	Right	Oligodendrocyte	1.186447856	17	Mbp
Male_R2-16943	0	Male	Right	Neuron	3.107381033	21	Nefl
Male_R2-16958	1	Male	Right	Microglia	1.424774779	38	Cd40
Male_R2-16963	2	Male	Right	Neuroepithelial	1.144217615	12	Notch1
Male_R2-16967	2	Male	Right	Reticulocyte	1.676793282	18	Ruvbl1
Male_R2-16976	11	Male	Right	Astrocyte	6.137100832	66	Gfap
Male_R2-16985	2	Male	Right	Microglia	1.563632168	21	Tmem119
Male_R2-16986	2	Male	Right	Reticulocyte	1.977739463	26	Ruvbl1
Male_R2-16988	0	Male	Right	Microglia	3.539467017	24	Cd68
Male_R2-16989	0	Male	Right	Neuron	6.55735634	17	Thy1
Male_R2-16990	0	Male	Right	Microglia	2.164849812	14	Cd68
Male_R2-16996	3	Male	Right	Neuroepithelial	5.727403212	5	Hes1
Male_R2-17002	11	Male	Right	Neuroepithelial	5.511022931	32	Sox2
Male_R2-17011	2	Male	Right	Reticulocyte	2.060541433	12	Ruvbl1
Male_R2-17020	1	Male	Right	Microglia	2.214956093	15	Cd40
Male_R2-17021	1	Male	Right	Neuroepithelial	6.8875109	21	Sox10
Male_R2-17022	3	Male	Right	Endothelial	4.099811051	20	Emcn
Male_R2-17032	8	Male	Right	Neuron	4.259238555	2	Nefl
Male_R2-17037	6	Male	Right	Neuroepithelial	2.35185157	4	Notch1
Male_R2-17042	2	Male	Right	Microglia	1.127476602	30	Cx3cr1
Male_R2-17050	10	Male	Right	Reticulocyte	2.571267336	1	Ruvbl1
Male_R2-17061	3	Male	Right	Endothelial	3.203850478	6	Nostrin
Male_R2-17062	2	Male	Right	Microglia	2.509747688	15	Cd68
Male_R2-17066	0	Male	Right	Ependymal	2.29001206	47	Zmynd10
Male_R2-17068	2	Male	Right	Microglia	0.728434503	14	Cx3cr1
Male_R2-17074	3	Male	Right	Endothelial	2.490787698	13	Emcn
Male_R2-17080	2	Male	Right	Astrocyte	1.49081963	34	Aqp4
Male_R2-17100	0	Male	Right	Microglia	1.399713836	37	Cd68
Male_R2-17105	0	Male	Right	Microglia	2.061064759	17	Cd68
Male_R2-17110	0	Male	Right	Microglia	1.701074787	17	Tmem119
Male_R2-17120	2	Male	Right	Microglia	2.476065194	8	Cd40
Male_R2-17133	0	Male	Right	Microglia	2.474776835	8	Cd40
Male_R2-17137	2	Male	Right	Microglia	2.084557033	15	Cd68
Male_R2-17141	4	Male	Right	Astrocyte	4.216463958	5	Aldh1l1
Male_R2-17151	2	Male	Right	Oligodendrocyte	1.38994111	20	Mbp
Male_R2-17156	0	Male	Right	Microglia	2.561219951	15	Cd68
Male_R2-17158	6	Male	Right	Astrocyte	1.170892412	15	Gfap
Male_R2-17160	6	Male	Right	Neuroepithelial	1.84947652	2	Notch1
Male_R2-17164	2	Male	Right	Neuron	5.138843914	13	Gap43
Male_R2-17165	0	Male	Right	Microglia	1.202796263	21	Tmem119
Male_R2-17168	2	Male	Right	Neuron	1.176450472	20	Map2
Male_R2-17174	1	Male	Right	Microglia	1.932029759	17	Tmem119
Male_R2-17178	0	Male	Right	Microglia	0.948996045	19	Cx3cr1
Male_R2-17184	2	Male	Right	Microglia	2.193356569	17	Cd40
Male_R2-17187	0	Male	Right	Astrocyte	1.708426767	30	Slc1a3
Male_R2-17188	2	Male	Right	Microglia	2.443886217	17	Cd68
Male_R2-17191	6	Male	Right	Endothelial	2.396027166	9	Emcn
Male_R2-17202	1	Male	Right	Oligodendrocyte	1.21887358	33	Mbp
Male_R2-17206	4	Male	Right	Astrocyte	2.1295178	2	S100b
Male_R2-17209	13	Male	Right	Neuron	5.551346267	1	Nefl
Male_R2-17217	1	Male	Right	Astrocyte	1.202576613	13	Slc1a3
Male_R2-17225	2	Male	Right	Neuron	5.508457131	12	Syt1
