	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_L1-9	1	Male	Left	Microglia	1.935097799	35	Cd40
Male_L1-10	0	Male	Left	Neuron	7.786066202	4	Gap43
Male_L1-11	1	Male	Left	Neuron	2.200910057	25	Gap43
Male_L1-14	4	Male	Left	Oligodendrocyte	2.608713838	8	Mbp
Male_L1-15	1	Male	Left	Microglia	1.450515326	34	Tmem119
Male_L1-17	4	Male	Left	Astrocyte	1.29485743	7	S100b
Male_L1-28	1	Male	Left	Microglia	2.027818892	47	Cd40
Male_L1-40	8	Male	Left	Neuroepithelial	2.441215843	3	Notch1
Male_L1-46	0	Male	Left	Microglia	3.207635923	35	Cd40
Male_L1-48	1	Male	Left	Microglia	0.892704978	35	Tmem119
Male_L1-52	4	Male	Left	Microglia	6.639136248	13	Cd68
Male_L1-76	0	Male	Left	Oligodendrocyte	1.976179299	35	Mbp
Male_L1-78	0	Male	Left	Neuron	2.930223965	29	Thy1
Male_L1-80	3	Male	Left	Neuron	4.402889538	9	Syt1
Male_L1-89	0	Male	Left	Neuron	3.832736541	46	Tubb3
Male_L1-92	1	Male	Left	Microglia	2.260556771	55	Cd40
Male_L1-103	13	Male	Left	Erythroblast	5.98587679	3	Lmnb1
Male_L1-121	4	Male	Left	Immune	0.926947282	8	Tyrobp
Male_L1-124	1	Male	Left	Microglia	2.176515678	29	Cd68
Male_L1-128	0	Male	Left	Microglia	1.826774863	33	Cd68
Male_L1-133	1	Male	Left	Microglia	1.628300332	43	Tmem119
Male_L1-134	4	Male	Left	Neuron	10	4	Thy1
Male_L1-135	0	Male	Left	Microglia	1.933047741	45	Cd68
Male_L1-148	1	Male	Left	Reticulocyte	1.582306568	31	Ruvbl1
Male_L1-150	0	Male	Left	Reticulocyte	1.433850446	52	Ruvbl1
Male_L1-154	5	Male	Left	Immune	0.769561427	58	Tyrobp
Male_L1-159	1	Male	Left	Microglia	1.194842957	23	Cd40
Male_L1-175	4	Male	Left	Microglia	2.76516972	34	Cd68
Male_L1-183	4	Male	Left	Immune	0.880770138	5	Tyrobp
Male_L1-184	3	Male	Left	Neuroepithelial	4.625626552	15	Hes1
Male_L1-190	4	Male	Left	Astrocyte	2.079880806	3	S100b
Male_L1-193	1	Male	Left	Erythroblast	3.081548989	50	Lmnb1
Male_L1-196	6	Male	Left	Neuroepithelial	3.195517553	14	Hes1
Male_L1-199	4	Male	Left	Neuron	10	9	Tubb3
Male_L1-204	1	Male	Left	Ependymal	4.033239237	13	Zmynd10
Male_L1-207	0	Male	Left	Astrocyte	1.713824026	30	Slc1a3
Male_L1-209	0	Male	Left	Microglia	1.54342101	31	Tmem119
Male_L1-211	2	Male	Left	Neuron	2.958300461	14	Nefl
Male_L1-216	4	Male	Left	Neuron	5.800200188	9	Nefl
Male_L1-229	2	Male	Left	Microglia	0.60251723	12	Tmem119
Male_L1-230	1	Male	Left	Neuron	4.134670423	39	Slc12a5
Male_L1-236	1	Male	Left	Microglia	1.434806856	33	Tmem119
Male_L1-255	5	Male	Left	Microglia	1.214660758	75	Cd40
Male_L1-266	12	Male	Left	Astrocyte	3.230005436	16	Gfap
Male_L1-269	3	Male	Left	Endothelial	4.169800839	11	Emcn
Male_L1-275	2	Male	Left	Neuron	2.295869322	22	Gap43
Male_L1-276	0	Male	Left	Astrocyte	2.248625164	6	Gfap
Male_L1-279	4	Male	Left	Immune	0.864348625	9	Tyrobp
Male_L1-281	2	Male	Left	Neuron	3.094766565	39	Syt1
Male_L1-286	4	Male	Left	Immune	1.073807446	6	Tyrobp
Male_L1-291	1	Male	Left	Erythroblast	2.8673205	43	Lmnb1
Male_L1-294	0	Male	Left	Microglia	1.226428076	53	Tmem119
Male_L1-298	4	Male	Left	Immune	1.510734595	10	Tyrobp
Male_L1-323	4	Male	Left	Astrocyte	2.552638796	20	Gfap
Male_L1-332	0	Male	Left	Microglia	1.866761998	60	Cd40
Male_L1-337	0	Male	Left	Reticulocyte	0.933183291	33	Ruvbl1
Male_L1-346	0	Male	Left	Microglia	1.991307883	35	Cd40
Male_L1-368	0	Male	Left	Neuron	2.725425341	53	Nefl
Male_L1-374	0	Male	Left	Astrocyte	1.421294134	24	Slc1a3
Male_L1-375	6	Male	Left	Astrocyte	1.675525853	13	Slc1a3
Male_L1-377	2	Male	Left	Neuron	-0.046028861	2	Gabra1
Male_L1-379	2	Male	Left	Microglia	2.313426131	35	Cd40
Male_L1-399	4	Male	Left	Neuron	10	7	Rbfox3
Male_L1-408	3	Male	Left	Neuroepithelial	7.02206689	7	Hes1
Male_L1-410	1	Male	Left	Stem cell	6.401794751	11	Pdgfra
Male_L1-422	1	Male	Left	Microglia	1.042077793	38	Tmem119
Male_L1-427	0	Male	Left	Microglia	1.642303894	32	Cd40
Male_L1-435	2	Male	Left	Astrocyte	1.983394978	21	Slc1a3
Male_L1-455	8	Male	Left	Neuron	2.258502339	3	Mapt
Male_L1-457	1	Male	Left	Reticulocyte	2.398103746	34	Ruvbl1
Male_L1-465	0	Male	Left	Oligodendrocyte	2.721483749	4	Mbp
Male_L1-473	1	Male	Left	Neuron	2.384648656	32	Gap43
Male_L1-480	3	Male	Left	Endothelial	4.164453402	10	Nostrin
Male_L1-492	4	Male	Left	Neuron	9.517539857	8	Thy1
Male_L1-494	0	Male	Left	Neuron	8.479673563	64	Gabra1
Male_L1-497	1	Male	Left	Astrocyte	1.243340743	1	S100b
Male_L1-505	1	Male	Left	Microglia	1.795040146	36	Cd68
Male_L1-513	1	Male	Left	Microglia	1.25412109	43	Cd68
Male_L1-524	8	Male	Left	Neuroepithelial	2.026536459	4	Notch1
Male_L1-530	1	Male	Left	Microglia	1.626030647	47	Cd68
Male_L1-534	0	Male	Left	Neuron	1.309799979	46	Nefl
Male_L1-539	4	Male	Left	Neuron	3.411800098	6	Map2
Male_L1-540	1	Male	Left	Microglia	0.941970852	42	Cd68
Male_L1-544	0	Male	Left	Platelets	1.677539699	65	Ccl5
Male_L1-547	4	Male	Left	Astrocyte	2.389734237	3	S100b
Male_L1-554	4	Male	Left	Neuron	4.9385597	6	Mapt
Male_L1-560	4	Male	Left	Erythroblast	2.292081978	17	Lmnb1
Male_L1-564	0	Male	Left	Stem cell	2.356392047	55	Pdgfra
Male_L1-575	1	Male	Left	Neuroepithelial	4.192916025	49	Sox10
Male_L1-577	8	Male	Left	Neuroepithelial	3.4558099	7	Notch1
Male_L1-581	3	Male	Left	Neuroepithelial	4.691669959	11	Hes1
Male_L1-584	3	Male	Left	Endothelial	2.970341415	14	Nostrin
Male_L1-593	3	Male	Left	Endothelial	2.351685561	8	Nostrin
Male_L1-596	4	Male	Left	Endothelial	1.597781987	9	Nostrin
Male_L1-601	6	Male	Left	Neuron	2.19603677	3	Mapt
Male_L1-629	1	Male	Left	Neuron	3.279841408	22	Gap43
Male_L1-632	1	Male	Left	Erythroblast	3.666784026	25	Lmnb1
Male_L1-637	2	Male	Left	Microglia	1.905354161	8	Cd68
Male_L1-638	4	Male	Left	Immune	0.764844507	4	Tyrobp
Male_L1-641	4	Male	Left	Astrocyte	6.107378411	5	Gjb6
Male_L1-654	2	Male	Left	Ependymal	3.442618927	14	Zmynd10
Male_L1-660	3	Male	Left	Platelets	4.029443773	18	Ccl5
Male_L1-662	4	Male	Left	Immune	1.314741897	8	Tyrobp
Male_L1-663	4	Male	Left	Oligodendrocyte	1.363560263	14	Mbp
Male_L1-669	4	Male	Left	Astrocyte	3.948465006	15	Gjb6
Male_L1-690	4	Male	Left	Neuron	4.927441513	10	Gap43
Male_L1-695	5	Male	Left	Reticulocyte	1.184173321	33	Ruvbl1
Male_L1-702	3	Male	Left	Endothelial	2.99646848	11	Emcn
Male_L1-708	3	Male	Left	Endothelial	3.6925567	20	Emcn
Male_L1-710	0	Male	Left	Oligodendrocyte	1.506358364	40	Mbp
Male_L1-713	0	Male	Left	Microglia	2.945280954	42	Cd68
Male_L1-714	4	Male	Left	Microglia	2.392906956	16	Cd68
Male_L1-717	2	Male	Left	Oligodendrocyte	2.043464607	2	Mbp
Male_L1-719	0	Male	Left	Neuroepithelial	1.183933903	34	Sox2
Male_L1-725	0	Male	Left	Immune	0.829428212	57	Tyrobp
Male_L1-727	4	Male	Left	Immune	1.090883085	13	Tyrobp
Male_L1-742	4	Male	Left	Astrocyte	1.291601924	6	S100b
Male_L1-765	2	Male	Left	Microglia	2.585671918	17	Cd68
Male_L1-768	4	Male	Left	Astrocyte	1.018005045	7	S100b
Male_L1-776	0	Male	Left	Reticulocyte	0.838555345	50	Ruvbl1
Male_L1-777	0	Male	Left	Microglia	1.113667815	22	Cd68
Male_L1-803	4	Male	Left	Immune	0.824640632	5	Tyrobp
Male_L1-805	1	Male	Left	Neuron	2.599298506	28	Gap43
Male_L1-806	0	Male	Left	Reticulocyte	1.168596197	35	Ruvbl1
Male_L1-812	0	Male	Left	Microglia	0.913697274	32	Cx3cr1
Male_L1-827	4	Male	Left	Astrocyte	2.580919287	12	Aqp4
Male_L1-838	4	Male	Left	Astrocyte	2.216697762	6	Aqp4
Male_L1-845	4	Male	Left	Astrocyte	1.85244626	7	S100b
Male_L1-854	2	Male	Left	Astrocyte	2.620501711	15	Slc1a3
Male_L1-856	0	Male	Left	Astrocyte	1.23023921	48	Slc1a3
Male_L1-889	1	Male	Left	Neuron	3.917622078	38	Gap43
Male_L1-894	2	Male	Left	Microglia	1.573022942	41	Cd68
Male_L1-898	9	Male	Left	Oligodendrocyte	10	62	Opalin
Male_L1-899	3	Male	Left	Erythroblast	4.638734927	12	Lmnb1
Male_L1-905	3	Male	Left	Reticulocyte	2.707118843	6	Ruvbl1
Male_L1-906	1	Male	Left	Reticulocyte	0.917681164	36	Ruvbl1
Male_L1-907	0	Male	Left	Ependymal	4.604415404	53	Zmynd10
Male_L1-921	4	Male	Left	Astrocyte	1.788777017	8	S100b
Male_L1-923	1	Male	Left	Astrocyte	0.910348556	33	Slc1a3
Male_L1-930	4	Male	Left	Immune	1.579719747	11	Tyrobp
Male_L1-933	1	Male	Left	Astrocyte	1.87380777	43	Slc1a3
Male_L1-943	4	Male	Left	Neuroepithelial	5.441996715	6	Sox2
Male_L1-957	3	Male	Left	Endothelial	2.965391693	11	Emcn
Male_L1-975	6	Male	Left	Endothelial	2.420960532	9	Nostrin
Male_L1-978	1	Male	Left	Microglia	3.5226734	36	Cd68
Male_L1-983	3	Male	Left	Endothelial	3.968736508	10	Emcn
Male_L1-985	4	Male	Left	Astrocyte	3.367508382	6	Gfap
Male_L1-999	0	Male	Left	Microglia	1.648525797	35	Cd68
Male_L1-1005	2	Male	Left	Neuron	3.339362076	35	Tubb3
Male_L1-1021	3	Male	Left	Endothelial	1.874731744	8	Nostrin
Male_L1-1030	1	Male	Left	Astrocyte	1.836000166	24	Slc1a3
Male_L1-1034	1	Male	Left	Microglia	0.766215036	35	Cx3cr1
Male_L1-1037	4	Male	Left	Immune	0.998888712	6	Tyrobp
Male_L1-1038	3	Male	Left	Neuroepithelial	3.020856196	10	Hes1
Male_L1-1040	0	Male	Left	Oligodendrocyte	1.753247886	2	Mbp
Male_L1-1048	4	Male	Left	Oligodendrocyte	1.583082327	22	Mbp
Male_L1-1049	3	Male	Left	Endothelial	2.970127384	14	Nostrin
Male_L1-1051	13	Male	Left	Microglia	3.315037216	2	Cd40
Male_L1-1058	3	Male	Left	Endothelial	3.290208499	17	Emcn
Male_L1-1064	1	Male	Left	Neuroepithelial	5.88871691	39	Sox10
Male_L1-1067	0	Male	Left	Astrocyte	3.199119748	29	Aldh1l1
Male_L1-1069	4	Male	Left	Microglia	4.034079287	7	Cd68
Male_L1-1079	2	Male	Left	Microglia	2.010862482	4	Tmem119
Male_L1-1080	0	Male	Left	Microglia	1.106413595	47	Cd68
Male_L1-1085	1	Male	Left	Microglia	1.168634252	32	Cd68
Male_L1-1088	2	Male	Left	Neuron	4.964340853	19	Rbfox3
Male_L1-1090	4	Male	Left	Oligodendrocyte	1.176348941	6	Mbp
Male_L1-1091	4	Male	Left	Neuron	3.241758403	6	Map2
Male_L1-1099	4	Male	Left	Neuron	7.059030442	17	Gap43
Male_L1-1102	8	Male	Left	Neuroepithelial	2.462526693	5	Notch1
Male_L1-1110	1	Male	Left	Reticulocyte	1.042361361	27	Ruvbl1
Male_L1-1116	1	Male	Left	Ependymal	3.940253158	31	Zmynd10
Male_L1-1125	0	Male	Left	Neuron	1.80260306	42	Nefl
Male_L1-1135	1	Male	Left	Astrocyte	2.013667871	24	Slc1a3
Male_L1-1144	9	Male	Left	Oligodendrocyte	6.837966912	19	Opalin
Male_L1-1150	0	Male	Left	Microglia	3.352430631	12	Cd40
Male_L1-1151	4	Male	Left	Microglia	1.998713543	35	Cd40
Male_L1-1152	1	Male	Left	Microglia	2.121774949	27	Cd68
Male_L1-1158	3	Male	Left	Endothelial	3.320760857	20	Emcn
Male_L1-1161	1	Male	Left	Astrocyte	1.364788176	35	Gfap
Male_L1-1162	4	Male	Left	Immune	1.086548324	8	Tyrobp
Male_L1-1166	0	Male	Left	Microglia	1.372750155	44	Cd68
Male_L1-1167	1	Male	Left	Microglia	0.981945473	30	Cd68
Male_L1-1171	1	Male	Left	Microglia	0.961636745	43	Cx3cr1
Male_L1-1172	4	Male	Left	Platelets	8.182977797	8	Ccl5
Male_L1-1180	4	Male	Left	Immune	1.475405794	18	Tyrobp
Male_L1-1184	0	Male	Left	Erythroblast	5.176168424	58	Lmnb1
Male_L1-1188	8	Male	Left	Neuroepithelial	2.44215213	5	Notch1
Male_L1-1189	1	Male	Left	Neuron	1.917250245	52	Gap43
Male_L1-1191	0	Male	Left	Astrocyte	1.242188138	33	Slc1a3
Male_L1-1200	4	Male	Left	Immune	1.30188526	9	Tyrobp
Male_L1-1202	2	Male	Left	Microglia	1.779474646	41	Cd40
Male_L1-1205	1	Male	Left	Erythroblast	3.568696692	34	Lmnb1
Male_L1-1213	1	Male	Left	Astrocyte	2.064724993	27	Slc1a3
Male_L1-1217	4	Male	Left	Immune	1.12499937	8	Tyrobp
Male_L1-1218	7	Male	Left	Astrocyte	6.384182352	26	Aldh1l1
Male_L1-1226	3	Male	Left	Endothelial	3.117128195	22	Nostrin
Male_L1-1229	2	Male	Left	Microglia	0.898187852	30	Cx3cr1
Male_L1-1234	2	Male	Left	Astrocyte	1.034690983	2	Slc1a3
Male_L1-1236	1	Male	Left	Astrocyte	1.015150053	35	Slc1a3
Male_L1-1237	1	Male	Left	Astrocyte	1.559954772	65	Slc1a3
Male_L1-1239	1	Male	Left	Microglia	1.785423857	43	Tmem119
Male_L1-1241	4	Male	Left	Reticulocyte	2.480415892	18	Ruvbl1
Male_L1-1248	5	Male	Left	Microglia	1.260901108	27	Cd68
Male_L1-1255	2	Male	Left	Astrocyte	1.848171119	3	S100b
Male_L1-1262	4	Male	Left	Reticulocyte	2.585371094	29	Ruvbl1
Male_L1-1266	1	Male	Left	Oligodendrocyte	6.041857167	34	Mag
Male_L1-1281	4	Male	Left	Immune	0.829050883	20	Tyrobp
Male_L1-1282	1	Male	Left	Neuron	1.163498142	34	Map2
Male_L1-1296	4	Male	Left	Microglia	2.11908681	22	Cd40
Male_L1-1303	4	Male	Left	Immune	1.393049785	12	Tyrobp
Male_L1-1307	0	Male	Left	Neuron	1.867879069	24	Map2
Male_L1-1308	2	Male	Left	Astrocyte	3.191448847	18	Gjb6
Male_L1-1309	0	Male	Left	Oligodendrocyte	1.348769659	68	Mbp
Male_L1-1318	1	Male	Left	Neuron	1.768555545	38	Nefl
Male_L1-1319	2	Male	Left	Microglia	3.083383533	39	Cd68
Male_L1-1320	1	Male	Left	Microglia	1.848625213	9	Tmem119
Male_L1-1321	4	Male	Left	Microglia	4.274846216	11	Cd68
Male_L1-1334	1	Male	Left	Microglia	1.446455716	43	Tmem119
Male_L1-1339	1	Male	Left	Oligodendrocyte	0.738020283	37	Mbp
Male_L1-1346	4	Male	Left	Oligodendrocyte	1.914340434	4	Mbp
Male_L1-1349	1	Male	Left	Astrocyte	1.691323245	34	Slc1a3
Male_L1-1362	0	Male	Left	Astrocyte	1.978368096	19	Slc1a3
Male_L1-1367	2	Male	Left	Neuron	4.706935885	17	Thy1
Male_L1-1370	4	Male	Left	Microglia	3.642054059	9	Cd40
Male_L1-1382	1	Male	Left	Microglia	2.443886217	17	Cd68
Male_L1-1389	0	Male	Left	Oligodendrocyte	5.6744449	47	Opalin
Male_L1-1399	0	Male	Left	Reticulocyte	1.059160324	43	Ruvbl1
Male_L1-1403	0	Male	Left	Microglia	2.006709833	30	Cd68
Male_L1-1408	4	Male	Left	Oligodendrocyte	10	4	Opalin
Male_L1-1412	0	Male	Left	Microglia	1.069620023	29	Cd68
Male_L1-1413	14	Male	Left	Immune	1.79127852	14	Tyrobp
Male_L1-1419	0	Male	Left	Ependymal	2.027671674	57	Zmynd10
Male_L1-1421	4	Male	Left	Immune	0.768851892	8	Tyrobp
Male_L1-1426	8	Male	Left	Neuroepithelial	3.368729064	7	Notch1
Male_L1-1428	0	Male	Left	Ependymal	2.720096071	42	Zmynd10
Male_L1-1433	0	Male	Left	Erythroblast	5.210906034	45	Lmnb1
Male_L1-1460	1	Male	Left	Neuron	1.825627875	22	Nefl
Male_L1-1465	11	Male	Left	Neuron	10	5	Nefl
Male_L1-1477	4	Male	Left	Astrocyte	1.285669008	8	S100b
Male_L1-1485	2	Male	Left	Neuroepithelial	0.918114003	14	Notch1
Male_L1-1486	0	Male	Left	Microglia	0.528259773	33	Cx3cr1
Male_L1-1492	4	Male	Left	Astrocyte	2.724248526	13	Gfap
Male_L1-1500	14	Male	Left	Microglia	2.97840671	10	Cd68
Male_L1-1506	4	Male	Left	Immune	1.220351369	10	Tyrobp
Male_L1-1509	2	Male	Left	Reticulocyte	1.593535627	30	Ruvbl1
Male_L1-1510	2	Male	Left	Microglia	0.864964886	23	Cx3cr1
Male_L1-1524	0	Male	Left	Ependymal	2.448879964	36	Zmynd10
Male_L1-1526	0	Male	Left	Neuron	1.052928791	40	Mapt
Male_L1-1528	0	Male	Left	Oligodendrocyte	8.756716489	33	Gjc2
Male_L1-1533	7	Male	Left	Astrocyte	6.84063788	25	Gjb6
Male_L1-1536	4	Male	Left	Neuron	10	6	Tubb3
Male_L1-1538	4	Male	Left	Immune	1.600159005	16	Tyrobp
Male_L1-1540	0	Male	Left	Oligodendrocyte	8.065128969	47	Gjc2
Male_L1-1542	0	Male	Left	Microglia	2.121626615	43	Tmem119
Male_L1-1543	1	Male	Left	Neuron	4.413787289	25	Tubb3
Male_L1-1544	1	Male	Left	Microglia	1.692032087	45	Cd40
Male_L1-1545	4	Male	Left	Microglia	2.870816738	12	Cd68
Male_L1-1550	4	Male	Left	Microglia	2.564398889	38	Cd68
Male_L1-1562	4	Male	Left	Immune	1.461437487	12	Tyrobp
Male_L1-1576	1	Male	Left	Oligodendrocyte	7.565787922	61	Gjc2
Male_L1-1591	8	Male	Left	Erythroblast	5.031103199	6	Lmnb1
Male_L1-1593	4	Male	Left	Microglia	2.994172385	20	Cd68
Male_L1-1602	2	Male	Left	Astrocyte	1.640682517	19	Slc1a3
Male_L1-1614	8	Male	Left	Neuroepithelial	7.036733632	1	Hes1
Male_L1-1622	3	Male	Left	Endothelial	2.794282518	11	Emcn
Male_L1-1624	0	Male	Left	Microglia	1.071297077	19	Cx3cr1
Male_L1-1629	3	Male	Left	Platelets	3.946778656	19	Ccl5
Male_L1-1638	1	Male	Left	Microglia	0.897730761	32	Cd40
Male_L1-1645	1	Male	Left	Neuron	3.245187259	73	Gap43
Male_L1-1647	4	Male	Left	Astrocyte	1.237265082	3	S100b
Male_L1-1649	4	Male	Left	Astrocyte	7.429523101	9	Aldh1l1
Male_L1-1652	4	Male	Left	Immune	1.254225943	18	Tyrobp
Male_L1-1664	0	Male	Left	Microglia	0.9214001	42	Tmem119
Male_L1-1666	3	Male	Left	Endothelial	2.805966276	11	Emcn
Male_L1-1675	3	Male	Left	Endothelial	2.960538195	2	Nostrin
Male_L1-1679	6	Male	Left	Neuroepithelial	3.601152813	3	Notch1
Male_L1-1694	0	Male	Left	Microglia	3.058813751	68	Cd68
Male_L1-1698	4	Male	Left	Microglia	3.887578843	8	Cd68
Male_L1-1711	4	Male	Left	Immune	0.908039321	10	Tyrobp
Male_L1-1713	1	Male	Left	Reticulocyte	3.217681846	38	Ruvbl1
Male_L1-1714	1	Male	Left	Neuron	2.734973303	26	Gap43
Male_L1-1715	2	Male	Left	Reticulocyte	2.075419861	12	Ruvbl1
Male_L1-1717	0	Male	Left	Oligodendrocyte	0.959226055	39	Mbp
Male_L1-1721	4	Male	Left	Astrocyte	2.373650992	4	S100b
Male_L1-1722	0	Male	Left	Oligodendrocyte	0.741604161	14	Mbp
Male_L1-1723	6	Male	Left	Neuron	3.234807927	6	Thy1
Male_L1-1724	4	Male	Left	Neuron	3.600636157	6	Map2
Male_L1-1726	10	Male	Left	Neuron	5.499336822	4	Rbfox3
Male_L1-1729	1	Male	Left	Astrocyte	1.411145512	26	Slc1a3
Male_L1-1736	3	Male	Left	Platelets	2.880439817	8	Ccl5
Male_L1-1754	4	Male	Left	Reticulocyte	5.531199136	17	Ruvbl1
Male_L1-1761	0	Male	Left	Microglia	1.352586997	27	Cd68
Male_L1-1769	2	Male	Left	Astrocyte	1.84665185	9	Slc1a3
Male_L1-1771	1	Male	Left	Microglia	1.010261796	21	Tmem119
Male_L1-1774	1	Male	Left	Astrocyte	1.340403761	39	Slc1a3
Male_L1-1779	10	Male	Left	Neuron	1.851975151	2	Mapt
Male_L1-1784	0	Male	Left	Reticulocyte	2.278429946	38	Ruvbl1
Male_L1-1788	0	Male	Left	Oligodendrocyte	1.492320318	32	Mbp
Male_L1-1791	0	Male	Left	Microglia	1.669978772	8	Cd40
Male_L1-1799	11	Male	Left	Neuroepithelial	6.332373299	35	Sox2
Male_L1-1807	4	Male	Left	Neuroepithelial	2.298306301	5	Notch1
Male_L1-1809	0	Male	Left	Neuron	1.602288966	30	Nefl
Male_L1-1811	0	Male	Left	Microglia	0.950098288	54	Cx3cr1
Male_L1-1821	4	Male	Left	Immune	0.841190283	6	Tyrobp
Male_L1-1826	10	Male	Left	Neuroepithelial	1.389814301	2	Notch1
Male_L1-1828	0	Male	Left	Oligodendrocyte	2.078985543	36	Mbp
Male_L1-1837	1	Male	Left	Neuron	3.000779921	35	Syt1
Male_L1-1845	1	Male	Left	Microglia	1.336201473	17	Cd68
Male_L1-1846	1	Male	Left	Microglia	1.339409965	22	Cd68
Male_L1-1851	4	Male	Left	Astrocyte	0.962069934	10	Slc1a3
Male_L1-1852	1	Male	Left	Microglia	0.78432754	50	Cx3cr1
Male_L1-1860	4	Male	Left	Neuron	3.736811453	6	Map2
Male_L1-1873	0	Male	Left	Microglia	2.706902327	55	Cd40
Male_L1-1874	0	Male	Left	Microglia	4.217520595	29	Cd40
Male_L1-1878	0	Male	Left	Immune	0.715343998	42	Tyrobp
Male_L1-1883	2	Male	Left	Astrocyte	1.481709996	22	Slc1a3
Male_L1-1884	0	Male	Left	Microglia	2.14945433	48	Cd40
Male_L1-1892	2	Male	Left	Erythroblast	4.232179461	24	Lmnb1
Male_L1-1899	1	Male	Left	Neuron	10	20	Gabra1
Male_L1-1902	0	Male	Left	Microglia	1.75101118	34	Tmem119
Male_L1-1912	4	Male	Left	Neuron	10	7	Tubb3
Male_L1-1920	4	Male	Left	Neuron	7.670313616	5	Gap43
Male_L1-1921	0	Male	Left	Microglia	2.239218061	26	Cd40
Male_L1-1926	1	Male	Left	Astrocyte	1.676768883	38	Slc1a3
Male_L1-1934	1	Male	Left	Astrocyte	1.609772564	20	Slc1a3
Male_L1-1936	4	Male	Left	Neuron	2.624549065	8	Map2
Male_L1-1940	0	Male	Left	Microglia	1.567473019	41	Tmem119
Male_L1-1944	4	Male	Left	Astrocyte	2.387290738	10	Aqp4
Male_L1-1945	0	Male	Left	Oligodendrocyte	1.985816816	33	Mbp
Male_L1-1956	4	Male	Left	Immune	0.559628166	7	Tyrobp
Male_L1-1959	4	Male	Left	Astrocyte	1.869032054	5	S100b
Male_L1-1962	3	Male	Left	Endothelial	3.303860275	13	Emcn
Male_L1-1963	4	Male	Left	Oligodendrocyte	1.093872198	8	Mbp
Male_L1-1969	4	Male	Left	Astrocyte	2.086653681	6	Aqp4
Male_L1-1979	3	Male	Left	Endothelial	3.362391286	12	Emcn
Male_L1-1989	4	Male	Left	Microglia	0.852996469	6	Tmem119
Male_L1-2004	4	Male	Left	Immune	0.851068052	16	Tyrobp
Male_L1-2005	0	Male	Left	Neuroepithelial	1.222242259	74	Notch1
Male_L1-2019	4	Male	Left	Immune	0.974914982	13	Tyrobp
Male_L1-2022	1	Male	Left	Immune	0.549689461	26	Tyrobp
Male_L1-2023	4	Male	Left	Microglia	4.574336029	11	Cd40
Male_L1-2025	0	Male	Left	Microglia	1.228415749	18	Cd40
Male_L1-2028	1	Male	Left	Neuron	4.209261128	26	Gap43
Male_L1-2029	4	Male	Left	Astrocyte	0.974111593	3	Slc1a3
Male_L1-2031	3	Male	Left	Neuroepithelial	2.811027793	6	Notch1
Male_L1-2034	4	Male	Left	Immune	0.96111381	18	Tyrobp
Male_L1-2038	1	Male	Left	Erythroblast	5.335561514	22	Lmnb1
Male_L1-2048	1	Male	Left	Astrocyte	1.484190051	62	Slc1a3
Male_L1-2051	1	Male	Left	Microglia	1.050234849	39	Tmem119
Male_L1-2058	0	Male	Left	Oligodendrocyte	7.107465096	34	Mag
Male_L1-2062	0	Male	Left	Microglia	0.940290046	34	Cd68
Male_L1-2069	4	Male	Left	Microglia	1.213820385	13	Tmem119
Male_L1-2072	1	Male	Left	Erythroblast	2.910742904	33	Lmnb1
Male_L1-2074	1	Male	Left	Oligodendrocyte	1.663690133	34	Mbp
Male_L1-2078	4	Male	Left	Oligodendrocyte	1.117108403	7	Mbp
Male_L1-2081	1	Male	Left	Ependymal	2.466487445	51	Zmynd10
Male_L1-2085	5	Male	Left	Microglia	1.279269286	9	Tmem119
Male_L1-2087	0	Male	Left	Immune	0.86900544	55	Tyrobp
Male_L1-2088	0	Male	Left	Oligodendrocyte	1.65544718	32	Mbp
Male_L1-2107	2	Male	Left	Reticulocyte	2.9912124	20	Ruvbl1
Male_L1-2112	4	Male	Left	Neuron	2.552343297	5	Map2
Male_L1-2117	1	Male	Left	Microglia	1.48559485	33	Tmem119
Male_L1-2126	4	Male	Left	Neuron	8.882910043	10	Thy1
Male_L1-2127	1	Male	Left	Microglia	2.803901887	77	Cd68
Male_L1-2135	1	Male	Left	Microglia	1.770316724	35	Cd40
Male_L1-2144	4	Male	Left	Reticulocyte	5.520345836	5	Ruvbl1
Male_L1-2145	11	Male	Left	Ependymal	10	21	Zmynd10
Male_L1-2147	5	Male	Left	Microglia	1.656269153	45	Cd68
Male_L1-2149	1	Male	Left	Oligodendrocyte	8.890426518	45	Opalin
Male_L1-2151	1	Male	Left	Microglia	1.358513888	35	Tmem119
Male_L1-2162	0	Male	Left	Microglia	2.100723436	54	Cd40
Male_L1-2169	4	Male	Left	Neuron	-0.046028861	14	Gabra1
Male_L1-2171	2	Male	Left	Oligodendrocyte	1.147053187	20	Mbp
Male_L1-2174	4	Male	Left	Microglia	6.102102368	10	Cd68
Male_L1-2179	3	Male	Left	Endothelial	3.495535064	18	Emcn
Male_L1-2180	0	Male	Left	Astrocyte	2.477343222	3	Gfap
Male_L1-2182	0	Male	Left	Microglia	1.479385325	17	Cd40
Male_L1-2194	8	Male	Left	Neuroepithelial	3.047112374	4	Notch1
Male_L1-2195	3	Male	Left	Endothelial	1.891224955	3	Nostrin
Male_L1-2197	2	Male	Left	Neuroepithelial	1.461387475	19	Notch1
